Year,Actor,Film Name ,Character,BAFTA,GG,CCA,CFCA,NBRA,NYCCA
2011,Octavia Spencer †,The Help,,5,5,5,1,0,0
2011,Judi Dench,My Week with Marilyn,Sybil Thorndike,1,0,0,0,0,0
2011,Carey Mulligan,Drive,Irene,1,0,0,0,0,0
2011,Melissa McCarthy,Bridesmaids,Megan Price ‡,1,0,0,1,0,0
2011,Bérénice Bejo ‡,The Artist,,0,1,1,0,0,0
2011,Jessica Chastain,The Tree of Life,,0,0,0,5,0,5
2011,Jessica Chastain ‡,The Help,,1,1,1,0,0,5
2011,Janet McTeer ‡,Albert Nobbs,,0,1,0,0,0,0
2011,Carey Mulligan,Shame,,0,0,1,1,0,0
2011,Shailene Woodley,The Descendants,,0,1,1,1,5,0
2012,Anne Hathaway †,Les Misérables,,5,5,5,1,0,0
2012,Judi Dench,Skyfall,M,0,0,1,1,0,0
2012,Emily Blunt,Looper,,0,0,0,1,0,0
2012,Amy Adams ‡,The Master,,1,1,1,5,0,0
2012,Ann Dowd,Compliance §,,0,0,1,0,5,0
2012,Sally Field ‡,Lincoln,,1,1,1,1,0,5
2012,Helen Hunt ‡,The Sessions,,1,1,1,0,0,0
2012,Nicole Kidman,The Paperboy,,0,1,0,0,0,0
2012,Scarlett Johansson,Her,,0,0,1,1,0,0
2013,Jennifer Lawrence ‡,American Hustle,,5,5,1,1,0,5
2013,Sally Hawkins ‡,Blue Jasmine,,1,1,0,0,0,0
2013,Octavia Spencer,Fruitvale Station,,0,0,0,0,5,0
2013,Lupita Nyong'o †,12 Years a Slave,,1,1,1,5,0,0
2013,Oprah Winfrey,The Butler,Gloria Gaines,1,0,1,0,0,0
2013,Julia Roberts ‡,August: Osage County,,1,1,1,0,0,0
2013,June Squibb ‡,Nebraska,,0,1,1,1,0,0
2014,Patricia Arquette †,Boyhood,,5,5,5,5,0,5
2014,Jessica Chastain,A Most Violent Year,,0,1,1,1,5,0
2014,Rene Russo,Nightcrawler,Nina Romina,1,0,0,0,0,0
2014,Imelda Staunton,Pride,Hefina Headon,1,0,0,0,0,0
2014,Keira Knightley ‡,The Imitation Game,,1,1,1,0,0,0
2014,Emma Stone ‡,Birdman,,1,1,1,1,0,0
2014,Meryl Streep ‡,Into the Woods,,0,1,1,0,0,0
2015,Kate Winslet ‡,Steve Jobs,,5,5,1,0,0,0
2015,Julie Walters,Brooklyn,Madge Kehoe,1,0,0,0,0,0
2015,Rooney Mara,Carol,Therese Belivet ‡,1,0,1,0,0,0
2015,Jane Fonda,Youth,,0,1,0,0,0,0
2015,Jennifer Jason Leigh ‡,The Hateful Eight,,1,1,1,1,5,0
2015,Helen Mirren,Trumbo,,0,1,1,0,0,0
2015,Alicia Vikander,Ex Machina,,1,1,0,5,0,0
2015,Cynthia Nixon,James White,,0,0,0,1,0,0
2015,Kristen Stewart,Clouds of Sils Maria,,0,0,0,1,0,5
2015,Rachel McAdams,Spotlight,,0,0,1,0,0,0
